Model,Accuracy,Precision,F1-Score,Recall,ROC-AUC
Logistic Regression,0.6199686356508103,0.5601820845088917,0.5703220006409937,0.6199686356508103,0.8048681504585053
Decision Tree,0.7381076842655515,0.7351096127174301,0.7322103799555123,0.7381076842655515,0.8689095623636328
SVM (RBF),0.6753789858860428,0.6496268622746583,0.6497164865227153,0.6753789858860428,0.8223434399866681
Naive Bayes,0.43021432305279667,0.6067994048252292,0.4111495293808984,0.43021432305279667,0.7462708386984552
