Model,Accuracy,Precision,F1-Score,Recall,ROC-AUC
Logistic Regression,0.8107923497267759,0.8472336120012439,0.8169805279863354,0.8107923497267759,0.897900475834336
Decision Tree,0.8859289617486339,0.9007530616594969,0.8886393572588437,0.8859289617486339,0.9370142750300785
SVM (RBF),0.8326502732240437,0.8677961626852313,0.8380959022947928,0.8326502732240437,0.9284405857423124
Naive Bayes,0.6851092896174863,0.8260843742561931,0.69234096871299,0.6851092896174863,0.8760630399202245
