k,inertia,silhouette
2,128034.02086059126,0.35574533695226607
3,99790.0855307806,0.38095685180990696
4,82609.37578048454,0.30202776786309077
5,72910.00232109055,0.25077660658814516
6,67378.63425012819,0.19324826448889262
7,63320.162165515685,0.186580792568048
8,60957.60838056202,0.17098728644092118
9,56847.82873217171,0.18322188755768787
10,55181.7225220275,0.14978268719144278
