koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,Cluster
-0.010331141836679745,0.8782393989215578,-0.6674444342161636,-0.25533765367427985,0.18238152488562487,-0.022227945194515715,-0.11385115109146822,-0.11557011227890422,0.25283022839851144,-0.4073107049608355,0.09469387755102002,-0.16090017771052664,-0.0454122380143311,0.7518643037562798,0.43942614240170036,0
0.6794128823188071,0.6666839164307184,0.07135355153412697,0.1853039155508488,0.3509584835515128,0.06937073040689287,-0.7645498730564603,-0.7451025275435784,0.06527012551253498,-0.4073107049608355,0.09469387755102002,-0.16090017771052664,-0.0454122380143311,0.7518643037562798,0.43942614240170036,0
0.2753459083024676,1.018263071256956,0.5631708691215432,-0.7252697979418127,1.5602256723057502,0.8677054055029076,-0.3569753466879566,-0.35578067609548736,0.691834181207555,0.1122715404699739,0.346122448979591,-0.2954613485937269,0.6589938861328754,0.7505974273161854,0.4867162592986188,0
-0.5669530659723806,0.8721448191418916,0.8926101746997508,-0.45532032160926733,1.4193877775490773,1.3182181392116874,0.5178434550465776,0.516485835047439,1.803857831145736,0.04960835509138381,0.41142857142857203,-0.47761461753120377,-0.9344471472093124,0.7760429151446679,0.5722635494155155,0
-0.4620405174225688,0.9060991299211978,0.23051258223262333,-0.7879313262060313,0.17253690378343994,0.05737133995045126,0.5266298789377316,0.5270673610948599,0.32959893712246136,0.34464751958224543,0.0,0.09840002279199021,-0.4870873903747918,0.7661042846301838,0.525504782146653,0
0.048712829108102526,0.8957020828839642,0.0014788044617371592,0.20632721858970185,0.6155808541093919,0.20941998911057982,-0.056148181738949886,-0.05858652294473018,0.6116476023918763,0.3642297650130548,0.15673469387755098,-0.061009928770466806,0.5591535051587985,0.7658465977180143,0.6344314558979814,0
-0.30628072130066686,0.9425798764691927,0.3106209945108032,-0.19514879071477453,0.23421035359164688,0.06039501737292338,0.3114933394057553,0.30986285700085375,0.31963371368247956,0.3642297650130548,0.15673469387755098,-0.061009928770466806,0.5591535051587985,0.7658465977180143,0.6344314558979814,0
-0.45725016647516015,1.1159123247305778,0.3015702959184679,-0.4465053927873792,-0.29719957939046926,-0.15301085344249904,0.4894188168771433,0.4885952060815783,-0.23982985451818628,0.3642297650130548,0.15673469387755098,-0.061009928770466806,0.5591535051587985,0.7658465977180143,0.6344314558979814,0
-0.10420540124161679,-0.13112804019182786,0.7831258923451441,0.30452972282372887,-0.28221782263210105,1.4059393501801458,0.47451448311160305,0.47412364215673025,0.41855549420523097,0.6005221932114883,-1.4759183673469354,1.6935492630324402,0.9173197062120898,-0.2570021892018991,-0.9883103081827841,0
0.19145641048667852,0.9595194523295693,-0.8620346498492081,-0.07376861833418258,1.1803826466819474,0.39234020348552107,-0.42560917971318285,-0.42291650539859227,1.1327583868787343,-0.9608355091383812,0.15346938775510383,-0.3420417274272035,-0.7309474757549974,0.7912986540364152,0.701912858660999,0
-0.4685527014906471,-0.38123358185823303,0.38175811523677583,-0.7441013361701273,1.6915764516796488,0.8078132187820896,0.47201102056973093,0.4720047384151186,3.0695825160777894,0.06919060052219321,0.06204081632653096,-0.07860050343941474,-0.7574825759649064,0.9497186728399798,-1.690754516471839,0
-0.5015764491380382,-0.4182664430014637,-0.5177316142331589,0.02646068332903197,1.327576127655019,0.9198934082657844,0.9474277433491847,0.9490174508610922,3.2606485741634916,0.8785900783289817,-1.3681632653061195,1.6847629140042562,-0.0019233467483706097,0.7228736840230451,-2.155685441020192,0
-0.3588627972321656,-0.42457017902618926,0.13496651650993616,-0.17652257136660734,1.4789998949040404,0.8673408976256282,0.6145811488131986,0.6146914696047993,2.5345615620487854,0.597911227154047,-0.8783673469387749,0.8799467983512428,-1.5243693381436767,-0.20655770243654387,-0.5085015940488837,0
-0.3421000227299512,-0.08545131525189036,-0.8641969531788659,-0.37046301319074815,-0.5585765601326139,-0.25621275701614515,0.35499152131619327,0.35403182906287084,0.45276902388777146,0.08616187989556136,-0.10122448979591725,0.04734013351134468,0.470603148759656,0.8114706549976034,-0.928799149840595,0
0.06309332683479205,0.8861728316690688,1.85999522704679,-0.04318328605714604,1.8041132772951989,2.160008707429046,-0.17171749666705308,-0.17393517725817328,1.9262882180584626,0.03655352480417755,0.37877551020408295,-0.3420417274272035,0.6694281637977414,0.6602001848356216,0.5058448459086079,0
0.26540996464785255,0.9295274290492945,0.36418140433615964,1.3527246843199061,1.4669161333961007,0.5007261475374053,-0.5790914057461849,-0.572106050413181,1.2988213082786324,-0.9451697127937336,0.4995918367346948,-0.7544751247873914,-0.4171648104645608,0.6665864412641634,0.5138150903294372,0
0.2616862769613048,1.247665909206064,0.6714072347844813,0.25407548918715245,2.4861140892572724,1.5330962349329513,-0.2565075604256834,-0.2583188082013644,2.703364187372013,0.45691906005221933,0.18938775510204295,-0.11621960099615328,0.4936402445546919,0.6758549173841867,0.4362380446333687,0
0.20108262654896214,1.1509054702560726,-0.3948010396926297,1.038045793490338,1.54442961488867,0.5512292015380209,-0.4349614858484925,-0.433211312973662,1.5025635501289452,-0.8028720626631853,0.25795918367347115,-0.4897121244589211,0.6797763110917927,0.6722087317883877,0.6737513283740706,0
-0.01889119100119858,0.9499293040872231,-0.23348078940419853,-0.14852544070780074,0.5369050986067367,0.013258910473503712,-0.3378684284487458,-0.3385069815743213,0.7698598281640968,-1.1892950391644908,0.473469387755103,-0.7134579891581665,-0.5727509901519672,0.6815979670692125,0.4155154091392137,0
-0.17612877444790284,0.90629444856898,-0.45543561381677095,-0.8248106038887091,0.7268051997326885,0.0723314142618983,-0.28900518447366846,-0.2892643976909681,0.6019290488742467,-1.6057441253263707,0.6857142857142848,-0.7751304165573526,-1.1877996329734932,0.704978591143966,0.6716259298618498,0
-0.4424408789380275,0.8834839247401309,-0.8793909309232766,-0.050966471696816104,-0.027182257352031218,-0.15520988912547543,0.2169761311955261,0.21528064475817166,0.4245973567537628,-1.0156657963446476,0.21551020408163188,-0.4104865614310666,-1.180215992742828,0.695046360696582,0.3979808714133904,0
-0.21826854322371628,0.911671866991612,-0.7771866783932779,-0.23185534049955492,0.32628915074795195,0.026215597085090976,0.05103501377738171,0.04946559499507415,0.5575462465847991,-0.7597911227154047,0.006530612244900132,-0.19924480284231993,0.01597648918716506,0.7079628750634057,0.4760892667375138,0
-0.3221879137313933,-0.02999969472399257,-0.5140195125436623,-0.38219688381510764,-0.07080978387563769,-0.12936680189325603,0.16544805405444993,0.16269702972574535,0.13001295595954587,-0.7597911227154047,0.006530612244900132,-0.19924480284231993,0.01597648918716506,0.7079628750634057,0.4760892667375138,0
-0.06873955366294818,-0.11656099670349422,-0.9211509968764869,-0.05586138498056467,-0.3168281772669958,-0.2205135837560315,-0.10402506702190686,-0.1055129757821374,-0.27407374910745974,-0.7597911227154047,0.006530612244900132,-0.19924480284231993,0.01597648918716506,0.7079628750634057,0.4760892667375138,0
1.4853357818671058,0.7676052910922726,0.5718148857924579,0.6505199345570286,1.9610832237330296,1.4374248614305036,-1.2109151709336894,-1.1025805958317678,2.2031281626521593,-0.2924281984334204,-1.1657142857142822,1.1019070098363728,0.0017524752062589787,-1.0115382683380558,-1.1296493092454833,0
