koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,koi_disposition,target
-0.049587621944914284,0.06413123743284035,-0.17705896396646584,-0.41168563046870793,-0.2758959457501563,-0.03207392645818063,-0.3383728849640115,-0.047262391563492386,-0.2751294030563173,-0.3250985724375143,0.3576287391686181,-0.12877135945782994,-0.02642094287682852,1.2027638066249504,0.7813201811823285,CONFIRMED,1
-0.01592371733523794,-0.05402913516612436,-0.0431047625638746,-0.17224065694808047,-0.27268994365745003,-0.03188509504578853,-0.7546275775121023,-0.047802173427965375,-0.2879199508090819,-0.3250985724375143,0.3576287391686181,-0.12877135945782994,-0.02642094287682852,1.2027638066249504,0.7813201811823285,CONFIRMED,1
-0.04178713859419276,0.1423388504004809,0.07349628092974461,-0.5933052996386295,-0.14947300917398812,-0.027985892021481495,-0.5227142488067374,-0.04760927552919123,-0.2233276846576206,0.1840927943353004,0.5388065229356549,-0.13858658657031842,1.0373969344905678,1.2006749739807387,0.8455659276733533,FALSE POSITIVE,2
-0.055395093717108455,0.060727223463924875,0.16695978054473445,-0.49684583082849015,-0.18351109625709106,-0.021737891253560453,0.3775851862187047,-0.04216123570246848,0.32577053036856446,0.12268278025214688,0.5858656875504709,-0.1513962897510237,-1.3690714360853093,1.2426296302849242,0.9617857612132963,FALSE POSITIVE,2
-0.054804208476499014,0.07969177104163933,-0.00809400537910643,-0.6130388415028335,-0.27605067558088536,-0.03191159770015935,0.39066747655593037,-0.04194271605562928,-0.26860622370240733,0.4118215965603281,0.2893929504771368,-0.10897454545128539,-0.6934536488159881,1.2262427631837662,0.8982618770423961,CONFIRMED,1
-0.04838411857892466,0.0738846941586204,-0.057717948171429986,-0.15871924024394687,-0.26473435468068435,-0.031530622043578795,-0.2884223218582406,-0.04712680715103835,-0.23586242145532993,0.43101222596131356,0.40233494555269245,-0.1212851692872879,0.8866146250778256,1.2258178876259846,1.0462436526677898,CONFIRMED,1
-0.05359878825853452,0.10006741224009484,0.010476917997161921,-0.3834529123904771,-0.2750269830207818,-0.03190497203656664,0.09809989265070085,-0.045127927434161816,-0.2695015620451009,0.43101222596131356,0.40233494555269245,-0.1212851692872879,0.8866146250778256,1.2258178876259846,1.0462436526677898,CONFIRMED,1
-0.05477349147379207,0.1968790213220901,0.008345828429393421,-0.4933549873616745,-0.28071485159838233,-0.03229588618853625,0.3359597169638956,-0.04269935630646842,-0.3017337423820677,0.43101222596131356,0.40233494555269245,-0.1212851692872879,0.8866146250778256,1.2258178876259846,1.0462436526677898,CONFIRMED,1
-0.05118070427692846,-0.4996321370288208,0.13438455429455884,-0.09265746148946587,-0.28062572721588236,-0.019833012970657697,0.31455233277570804,-0.042958257361729375,-0.2599086512305274,0.6625791540665383,-0.7741441698176765,0.042745575338366905,1.4275292972927287,-0.46066065802574546,-1.1583238729905123,FALSE POSITIVE,2
-0.0446571221635686,0.10952869668313539,-0.2056764524479285,-0.32249063936441225,-0.2226874515590449,-0.03091443532945721,-0.5679076154262445,-0.04766390544090103,-0.11384059589395547,-0.8675536968387038,0.399981987321953,-0.14191378220167045,-1.0617393713711039,1.267783374091447,1.1379201673235206,CONFIRMED,1
-0.05484540084939205,-0.6393239268345896,0.02752563453930988,-0.5993335335315237,-0.10736173844276538,-0.028502693781712506,0.3109844354110101,-0.042995060670670715,5.18451590521126,0.14187340965313236,0.33409915686121117,-0.12261604753982872,-1.1018135743249915,1.528987147640894,-2.1126258601942705,CONFIRMED,1
-0.05504460897608109,-0.6600079413520547,-0.15331253735418832,-0.2677961224700005,-0.200896540037809,-0.027488967252028602,1.1541975126012856,-0.021351009124415173,7.284212224305099,0.9350860915605321,-0.6964965482032324,0.0417474166489613,0.039257446918015616,1.1549639178921536,-2.7442553903026576,CONFIRMED,1
-0.05405727967266452,-0.6635287756442094,-0.029404901056791388,-0.374454602736972,-0.1703095470992871,-0.027989204853277844,0.5274368755360174,-0.039779818814356174,1.9065543271327434,0.6600204034797402,-0.3435528135921226,-0.0415988339164069,-2.2599918177493534,-0.37748751868775526,-0.5064821979186566,CONFIRMED,1
-0.05391738360967295,-0.4741202534583388,-0.2059808938147526,-0.4622634554659983,-0.2818957496665066,-0.03243833795577942,0.15280765224273563,-0.04466271060707519,-0.25619939238222567,0.1585052884673198,0.2164512453241746,-0.11296718020890784,0.7528828914153624,1.3010430770690034,-1.0774752931366387,CONFIRMED,1
-0.04806409628186359,0.06856230846157307,0.5344205103013882,-0.30623403322412823,-0.060905654064670446,0.017038804922746953,-0.38594484982665045,-0.04737554895956029,0.47478041168827223,0.10988902731815657,0.562336105243064,-0.14191378220167045,1.053155132406207,1.0516275175247094,0.8715529711978124,FALSE POSITIVE,2
-0.04215816709389317,0.09277721095433826,0.023263455403772917,1.0189575220669291,-0.17311944082532696,-0.030444013214375135,-0.6594836477868244,-0.04774735183235484,-0.04630650375935831,-0.8522011933179154,0.6493955597804711,-0.16986222550502741,-0.5878542112327209,1.0621572112502098,0.8823809059996709,FALSE POSITIVE,2
-0.04229494115392837,0.2704675308212317,0.10272265214485543,-0.12720584014710176,0.6359975035390452,-0.016493678519934257,-0.451356301512779,-0.04750276317501551,2.642650350304347,0.5218478717926448,0.4258645278601014,-0.12544416382647794,0.7876742901685382,1.077439124204689,0.7769890072615852,FALSE POSITIVE,2
-0.04435653121742736,0.21642379068953632,-0.13261052441015148,0.5897182171632522,-0.15380544443440197,-0.03019223799785234,-0.5738541110340742,-0.047671189429129006,0.06714565480766382,-0.712749286337421,0.4752766507056567,-0.15222808865886173,1.0687832533320016,1.0714272739102808,1.0996614643569562,FALSE POSITIVE,2
-0.04974830073050324,0.10417229808616692,-0.10368859456186472,-0.36069057318454717,-0.2675714808569325,-0.03200435699045722,-0.5096319584695117,-0.04759298239762866,-0.2093859876071072,-1.0914443731835344,0.6305718939345452,-0.16720046899994584,-0.8228257053024824,1.086908295214388,0.7488363767767544,CONFIRMED,1
-0.0521790649446187,0.0798008626327706,-0.1429615308821699,-0.6242268480100253,-0.25984241635235417,-0.03187846938219582,-0.47514228394409846,-0.04754065269272769,-0.23726938170813403,-1.4995650917778256,0.7835141789326922,-0.17119310375756824,-1.7516929017315679,1.1254583931274507,1.0967740150764609,CONFIRMED,1
-0.054676253004872825,0.06706046960177897,-0.2081119833825211,-0.31040635609283235,-0.27859319615942535,-0.032299199020332604,-0.013694224776500681,-0.045909422697463086,-0.2592691238428892,-0.9212874591614632,0.44468819370602525,-0.1467382158671309,-1.7402398325767936,1.1090820784911275,0.725014920212667,FALSE POSITIVE,2
-0.052688364845730376,0.08280431948937202,-0.1934987977749657,-0.4008221379624155,-0.27323211698432465,-0.0319778543360864,-0.1885211956466988,-0.04678062602630887,-0.24340884462946105,-0.6705299016552528,0.29409886693861986,-0.13159947574447917,0.06629038263137234,1.1303788964008858,0.8311286812708762,CONFIRMED,1
-0.05374367972390749,-0.44314878410359626,-0.15270365462054017,-0.467177524622472,-0.2790214883308834,-0.032259445038776376,-0.07078058261166742,-0.046242888790110404,-0.28395488100572486,-0.6705299016552528,0.29409886693861986,-0.13159947574447917,0.06629038263137234,1.1303788964008858,0.8311286812708762,CONFIRMED,1
-0.05062082348069631,-0.4914959863321762,-0.21389636935217843,-0.3130179211476878,-0.2808274949151531,-0.03239195831063048,-0.33004779111304966,-0.047240411809541305,-0.3028848916798165,-0.6705299016552528,0.29409886693861986,-0.13159947574447917,0.06629038263137234,1.1303788964008858,0.8311286812708762,CONFIRMED,1
0.23296447875832302,0.00233861807196687,0.07577959118092517,0.18297854965525384,0.02503748311548225,-0.019074374489292948,-0.9282652492607345,-0.0478486248265771,0.9504608826135883,-0.21251354661839947,-0.5506131378973058,-0.02013842209418634,0.04480879716229221,-1.7047437773059548,-1.350339250143462,FALSE POSITIVE,2
-0.04045508924919932,0.07881406153329303,0.051272061151587445,-0.3347294531126108,-0.2729078032591165,-0.03184534106423229,-0.6511585539358626,-0.047741281842164855,-0.27704798521923196,-0.9660655944304293,0.43527636078306337,-0.14524097783302248,-0.3346425663603328,1.1437613656852772,0.8029760507860454,CONFIRMED,1
-0.052952679629003595,0.08184930793575085,-0.005354033077689787,-0.533115678995658,-0.2719484783085963,-0.03190165920477029,-0.19089979388983078,-0.04679366053155893,-0.2848502193484184,-0.47350610647180197,0.5576301887815809,-0.14208014198323804,1.205959929209543,1.1486185541697096,1.1523574137259989,CONFIRMED,1
-0.05348900230709943,0.08412434393868022,-0.0924242639893741,-0.4244343947897481,-0.27422486357828235,-0.03206067513099522,-0.07791637734106326,-0.04627662515663996,-0.2418739788991293,-0.08329664198509724,0.5858656875504709,-0.14474189848831967,0.4627482635690201,1.5283462242504608,0.7878169420634435,CONFIRMED,1
-0.055567868729790165,0.07089426821822258,0.04031217194592088,-0.6345185777528285,-0.2561412788013149,-0.03132191364040858,0.44537523614796515,-0.04112512032435603,-0.08928274420864742,0.006259628552834985,0.5835127293197293,-0.14474189848831967,0.7563467157741287,1.5385982215329645,0.9098116741643781,FALSE POSITIVE,2
